"","ResponseId","desc_inapp"
"1","R_3CDWi1kNJKXJiLV","friend accidentally hurts feelings"
"2","R_10OeUAY8BxR4N9H",NA
"3","R_3lDODAUiAQTzqvi","You shouldn't hold a grudge over something petty, like not getting back $10 you were promised."
"4","R_3Hhq5FAhV1IB8GL","If someone acknowleges this mistakes and sincerely apologies"
"5","R_1F4GgSqFlBGiCkI","Someone has beaten you in fair competition, or due to chance."
"6","R_RfYUkPPby1QuujL","A circumstance where it is wrong to hold a grudge is one where an act was unintentional and not done out of malice. If something negative was done accidentally or committed by someone who does not have the mental faculties to be deemed socially responsible, it is unfair and incorrect to hold a grudge."
"7","R_1igmYlmlfpDF2EL","I think if you hold a grudge against someone for something they didn't do... that's not so great."
"8","R_22PSaYuqrk3SnUn","If someone did something that hurt me but ultimately was for my best interest."
"9","R_2dm9vzigtyp6Ah8","It would be wrong to hold a grudge if the person is genuinely remorseful and actively working to do better in the future."
"10","R_1jCxORe1IGfwFBz","When someone has not wronged you."
"11","R_3nvg2R1ZgwcZIvF","Accidental mistake"
"12","R_2flflB6ll7Ap7JU","when the circumstance was a ""one-off"", and unlikely to occur again"
"13","R_3IRBCkWey5nXAEk","When you are using the grudge in order to seek vengeance on another."
"14","R_7OMAu81OJoZwhl7","I think it is wrong to hold a grudge for a petty reason such as someone taking an item that you wanted."
"15","R_27eXObVJmsbgdtY","I always think it is wrong to hold a grudge, albeit, sometimes understandable."
"16","R_1OdpzB1R03kyAzn","When it is beyond the control of the other person. An example could be when someone unintentionally someone in an act where there was no control over the situation."
"17","R_1FQBvw3S4j0jhze","when it was a harmless mistake and there was a valid reason for their actions"
"18","R_uzdKLAhC2Y8WGBz","When the person who harmed you did not intend to."
"19","R_r2NNjedFyMXdzj3","Someone accidentally causes your phone to fall off the edge of the couch."
"20","R_ea3I4aS6L35fDaN","when you are being sensitive and being overly sad"
"21","R_31o5ErFyInG9Sh3","If someone makes up with you and makes things right (or tries their best) a person should not hold a grudge"
"22","R_3p55ZbAR64824Wq","If someone hurt you by accident or on purpose but acknowledge their actions, whether they apologize or not, the grudge is 'wrong' (doesn't serve a purpose)."
"23","R_3aBjt0PkKUnCbXX","If there is something small and petty that you aren't really affected by, it seems weird to hold a grudge. I think that would just do more damage to you."
"24","R_2CTvPnJUkjATOh0","I believe it is wrong to hold a grudge when an action is performed out of ignorance, such as if a kid were to make an insensitive comment to an adult."
"25","R_30k0oKPO04Rdkmq","Someone taking gum from you"
"26","R_4GfkumHBWRpZyEN","Another person was given a promotion over you, deservedly so. If you are beat fair and square, there's no reason to hold a grudge."
"27","R_3feHjrNarFXsgQN","It is wrong to hold a grudge over minor offenses that don't matter much in the grand scheme of things and/or with people who have little impact on your life. For example, if some random person is rude on the subway, it's not worth the stress of animosity over someone who you'll probably never see again."
"28","R_3JEGXSyDnaKCQay","All of them.  It is useless."
"29","R_1Nh8kHA3OsbxJIe","It is right to hold a grudge if the way they have been wronged is something that affects their short term plans, like taking the last bagel."
"30","R_3UCKeo1nPH74rQZ","Over petty matters."
"31","R_2ccKx9YVCMskiSe","I think it's wrong if you were in the wrong and are placing the blame on someone not responsible"
"32","R_3dZlXlPMBIaALip","Holding a grudge because someone did not buy you a gift that was the same amount you spent on them."
"33","R_0AK4bFxTmzm6vpn","If someone did something stupid such as a prank or made a joke that you didn't like but didn't cause any harm."
"34","R_2ZKdEZEH6FKeL2i","When you are affected by the actions of someone who made a honest mistake and offers forgiveness and retribution, but one still would hold a grudge."
"35","R_3HLnHJXNBwOBAQt","someone gets a promotion instead of you for extenuating circumstances"
"36","R_1BYtwz4iPwZcK8l","over a petty fight"
"37","R_UgoBV0R7WDvXT5D","Anything relating to money. Money comes and goes and it causes so many arguements"
"38","R_eVUeMtb1qRly9Ut","A friend of mine in a position to provide employment to me or other candidates, ends up choosing a person other than me because he or she is a better fit for the position."
"39","R_3jeShJY2CCuPXk0","If it was an accident."
"40","R_3CPdIC3lknJWaQx","If the incident doesn't reveal a pattern of behavior, or the injury is less than the distress holding a grudge is causing me."
"41","R_3je8Hizuxktcxxy","Against a friend or acquaintance you regularly choose to interact with."
"42","R_31ZyfzYVrPRlSnb","If someone accidentally hurts your feelings."
"43","R_2WMh99X1klI6qtD","When you are dealing with a child or a person with an intellectual disability or when the person is truly sorry."
"44","R_2XgJA4oaa1IepIw","It is wrong to hold a grudge to your parents even if they did something you do not like."
"45","R_1roGrGqfE5612U4","If a friend does something to you accidentally and they didn't have an intention to do that."
"46","R_SZvQSRw93jlEf9n","When someone disagrees with a religion or points out negative behavior of said religion."
"47","R_1my3cfSp4ZJ8FV2","If something is accidental, I don't think you should really hold a grudge against someone. If we go along the same line of thinking with a group project, it wouldn't be okay to hold a grudge is someone had a family emergency that prevented them from completing their part of the project and they were upfront about their circumstances. In that case, they're not trying to do anything wrong, so it's not appropriate to hold a grudge."
"48","R_1LMXzmWMsXxqtks","Always. Live and let live, and if necessary respond. Grudges are a burden on the mind that perverts thinking."
"49","R_1LtElAmws5BjYmd","When the person has not acted with bad intention, for example, the ideology of a person can make him believe that he is doing the right thing, and it is also something that we must understand"
"50","R_10JhWGR6xAOVXqx","In cases where there are isolated scenarios or minor inconveniences, like someone being a little dishonest to get a job that you didn't get one time, or your roommate continually not washing the dishes."
"51","R_1ISeW1IPBCelvJ8","when you have no evidence to support your grudge"
"52","R_3fJLFHuoAdXtd04","I don’t think it is wrong to hold a grudge, but rather a waste of energy to the person holding it."
"53","R_Zz3Xq0LGcCGkdoJ","When someone cuts you off in traffic."
"54","R_D8zZmoPMMmcxV2p","I think it is not okay to hold a grudge when something that happened was not on purpose or was uncontrollable."
"55","R_3hGdLFipphk2ZyT","Holding a grudge against a suitor of your ex-girlfriend. You and your ex are friends and understand why you guys just aren't meant to be together. What is messed up is that you hate her romantic partner or hold a grudge against them when you and your ex agreed that you guys aren't meant to be. To me, that is very petty and is the wrong way to hold a grudge"
"56","R_1mEFdgto9fCouzs","When a person is unable to follow through on a commitment"
"57","R_20SRWqeKpVpVrBe","I think it is wrong to hold a grudge if an honest mistake was made and actions were taken to correct it. For example, I once accidentally left our office unlocked after being the last one to leave. I was reprimanded respectfully and took steps to ensure it did not happen again. My boss should not hold a grudge in this situation."
"58","R_CeiJ6zWMhEQEQmd","If someone does something that hurts someone on accident."
"59","R_3prPj1j0jg39CXN","If it involves something very minor like forgetting to bring the co-workers coffee."
"60","R_1BXIB50FumVmZlS","If something minor, or accidental, happens, you shouldn't hold a grudge. Small things or accidents are not worth long-term bad feelings. Additionally, it isn't as indicative of the person being bad."
"61","R_2DTTFL5Jsu0HREp","If someone does something insignificant by mistake and it negatively affects you."
"62","R_sROopfYQHUyZCEN","little things, minor intrigues"
"63","R_blxR6BGQXrRmsBb","I feel that it’s wrong to hold a grudge when the offending party has already asked or offered forgiveness, or shown true contrition in regards to the act committed. Or, when no act has truly been committed at all, and the grudge is from a perceived/false slight."
"64","R_28TBaImknWgRRLg","I think it's always wrong to hold a grudge because, again, it only hurts the person who is holding it, not the object of their ire. Though I will say I've seen people purposely avoid closure and acceptance in order to keep holding a grudge and that is definitely wrong. It makes me reflect on the idea that anger can be addictive, and that's scary."
"65","R_DSQLLcgdiu308AF","I believe grudges shouldn't be held until the person that performed the wrongdoing refuses to change their ways. After all, it might have been a misunderstanding, an accident, or an action that the person regrets doing."
"66","R_12bBHMytRsflLqi","When someone made a genuine mistake, i.e. your sister ate your sandwich not knowing it was yours"
"67","R_QggX9yzMdaXsrpD","If someone makes an honest mistake, meaning they may have done something unintentional once or maybe even twice."
"68","R_1QLMy4Xa7ut9k78","It is wrong to hold a grudge against someone who you just don't like for no real good reason."
"69","R_85PpmMP1QB4kMOl","I think when it doesn't cause harm, it is more trouble to hold a grudge."
"70","R_3qkFJ3Pon3qGQah","Disagreement"
"71","R_2wbOHFu2ARR6EH0","Every time"
"72","R_3eqPJNTRRm5tEuc","Holding grudges for things that are accidents. Holding grudges for things that happened while playing a game. Holding grudges for things someone thought would be funny and ended up hurting you with (but they feel bad and never intentionally meant to cause harm)."
"73","R_1kTxUOT5oA07mg5","If the other party hurt you on accident and has no intention doing it again."
"74","R_rex68gbNJSdxeLf","All the time. Forgiveness is important
"
"75","R_1LUWtLiTfTzocMQ","If someone accidentally harms another and seeks to make it right."
"76","R_1qfWSnnwKHrpb1f","If nothing is done"
"77","R_CfVJEfsjrVpdkIN","When the problem is not as serious, say a argument or having various ideals."
"78","R_1JDE6yhaiq9147F","If someone does something on accident"
"79","R_1GDpfhDYLt4VMkw","It is wrong to hold a grudge where the other party is not responsible for what happened to you (i.e., when you wararntlessly blame getting in trouble at work on them)."
"80","R_1okfT0NCLK4gX92","If it was clearly a accident."
"81","R_1g0EeZVyNURTHVU","All situations. We should forgive as Jesus forgave us."
"82","R_3KwtqaV7WJ7ijiC","For almost every thing where there is a problem it is not ok to solve it with holding a grudge."
"83","R_1d5hYfu7SHNtHfx","Petty reasons."
"84","R_2XbUSS7HXxo0V7y","I think it is wrong to hold a grudge if its a circumstance in which someone accidentally offended someone and apologized for it or upset/let sonmeone down because of external circumstances that were out of that persons control. For example if Friend A was late to friend B's birthday party because there was a car accident in front of them and they got stuck in traffic and couldn't call then I do not think Friend B should hold a grudge, especially if Friend A apologises for missing the event."
"85","R_Dk07zOAdPUaLQKl","I do not think it is right to hold a grudge in the instance of someone forgetting a meeting or event that was special to you."
