Word	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	cogproc	percept	see	hear	feel	drives	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	informal	
desc																											
wrds																											
1					X																						
revenge							X		X		X																
na																											
resentment							X		X		X																
pain							X		X						X			X									
cold		X													X			X									
wanting	X													X													
to																											
retaliate																											
exes													X														
petty		X					X		X		X																
anger							X		X		X																
hurt							X		X			X			X			X									
stubborn							X		X		X																
sad		X					X		X			X															
judgement																			X	X							
angry		X					X		X		X																
ignore	X						X		X															X			
betrayal																											
hate	X						X		X		X													X			
shame							X		X	X									X	X							
betrayed																											
jealous							X		X		X																
justice																			X	X							
mad							X		X		X																
stuck	X																						X			X	
stressful							X		X	X																	
festering																											
waste																											
consuming																											
lingering																											
pissed							X		X		X																X
resent							X		X		X																
stingy																											
pride							X	X											X								
irritability							X		X	X																	
bitterness							X		X		X				X												
painful							X		X						X			X									
madness																											
time																										X	
resentful							X		X		X																
drinking																											
poison							X		X		X																
wrong		X					X		X										X			X					
spite							X		X		X																
unfair		X					X		X																		
family													X						X								
friends													X						X								
stony																											
negative																											
rage							X		X		X																
exhausting							X		X																		
nothing														X													
someone													X	X													
immature																											
vengeance																											
the																											
silent															X		X										
treatment																											
emotional		X					X		X																		
annoying		X					X		X		X																
judgemental																											
bitter		X					X		X		X				X												
unhealthy																											
long																										X	
upset		X					X		X	X																	
contempt							X		X		X																
scared		X					X		X	X																	
frustrating							X		X		X																
decided	X													X									X				
stodgy																											
quarrel																											
vice																											
punishment							X		X		X								X	X							
stress							X		X	X																	
stupidity							X		X		X																
bitch							X		X		X																X
pettiness																											
small		X																	X	X						X	
person													X														
mean	X	X												X										X			
shock							X		X																		
why				X										X													
i																											
don't	X																							X			
know	X													X										X			
two					X																						
wrongs							X		X																		
make	X													X										X			
a																											
right																										X	
forgiveness							X	X					X	X													
futility																											
sadness							X		X			X															
irrational							X		X	X																	
troublesome							X		X										X			X					
jealously							X		X		X																
fight							X		X		X		X														
vengeful																											
angee																											
history																										X	
destroy							X		X		X								X	X							
ignoring	X						X		X																		
when				X																						X	
we													X						X								
think	X													X										X			
about																											
them													X														
feelings														X	X			X									
are	X																							X			
past																							X			X	
unforgiving																											
murder							X		X		X																
point																										X	
less		X	X			X																					
regret							X		X			X		X													
focuse																											
on																										X	
present																								X		X	
forgive							X	X					X	X													
apology													X						X	X							
kill							X		X		X																
tired		X																									
hatred							X		X		X																
intention														X													
mistake							X		X					X													
off																										X	
annoyance																											
inspirational							X	X						X													
feel	X													X	X			X						X			
like			X																								
settle																											
issues																											
even																											
i'm	X																							X			
one					X																						
victim							X		X										X	X							
nervous		X					X		X	X																	
move	X																							X		X	
serious		X					X		X																		
rancor																											
lost	X						X		X			X							X				X				
shrewd																											
familiar		X																									
get	X																		X		X			X			
solitude																											
irritated							X		X	X																	
single		X			X	X																					
minded																											
weak		X					X		X										X	X							
never														X												X	
forgetting	X																										
jealousy							X		X		X																
blackmail																											
apologize													X						X	X							
losing	X						X		X			X							X			X					
retaliation																											
wronged							X		X																		
emotions							X																				
instinct																											
disgusted							X		X																		
obtuse																											
frustrated							X		X		X																
coldness																											
tiring		X																									
longing							X		X			X															
vindicated																											
confrontation							X		X		X																
hurtful							X		X			X			X			X									
stomach																											
ulcers																											
fair		X					X	X																			
ignorance																											
silence															X		X										
